"ID_Regat","Nazwa","Liga_Poziom","Miasto","Numer_Rundy","Rok"
"40323829","Ekstraklasa - Runda 3","Ekstraklasa","Świnoujście","3","2019"
"41227949","Youth - Runda 1","Youth","Sopot","1","2025"
"42322105","Ekstraklasa - Runda 2","Ekstraklasa","Świnoujście","2","2015"
"42903369","Ekstraklasa - Runda 2","Ekstraklasa","Szczecin","2","2018"
"44960821","2 Liga - Runda 3","2 Liga","3 runda","3","2023"
"46476906","Ekstraklasa - Runda 1","Ekstraklasa","Szczecin","1","2016"
"46597156","Ekstraklasa - Runda 1","Ekstraklasa","Sopot","1","2023"
"48680673","Ekstraklasa - Runda 3","Ekstraklasa","Sopot(2)","3","2020"
"50632845","1 Liga - Runda 2","1 Liga","Gdynia","2","2023"
"51626046","1 Liga - Runda 3","1 Liga","Trzebież","3","2022"
"51774063","2 Liga - Runda 2","2 Liga","Sopot (2)","2","2022"
"52984811","Ekstraklasa - Runda 2","Ekstraklasa","Świnoujście","2","2017"
"53378923","Ekstraklasa - Runda 3","Ekstraklasa","Szczecin","3","2021"
"56595466","1 Liga - Runda 4","1 Liga","Szczecin(2)","4","2020"
"56840754","Ekstraklasa - Runda 1","Ekstraklasa","Sopot","1","2019"
"59294752","Ekstraklasa - Runda 1","Ekstraklasa","Sopot","1","2026"
"59609769","1 Liga - Runda 2","1 Liga","Gdynia","2","2022"
"59734039","Ekstraklasa - Runda 3","Ekstraklasa","Gdynia","3","2016"
"60773118","1 Liga - Runda 3","1 Liga","Olsztyn","3","2023"
"61637084","1 Liga - Runda 2","1 Liga","Sopot(2)","2","2020"
"65285653","2 Liga - Runda 1","2 Liga","Sopot (1)","1","2022"
"66750266","Ekstraklasa - Runda 4","Ekstraklasa","Szczecin","4","2025"
"68966834","1 Liga - Runda 4","1 Liga","Warszawa","4","2021"
"69259421","1 Liga - Runda 1","1 Liga","Sopot","1","2025"
"70902597","Ekstraklasa - Runda 2","Ekstraklasa","Sopot","2","2024"
"71128501","2 Liga - Runda 4","2 Liga","Szczecin (2)","4","2022"
"72158401","Ekstraklasa - Runda 3","Ekstraklasa","Puck","3","2025"
"72686373","1 Liga - Runda 2","1 Liga","Puck","2","2026"
"72722761","Ekstraklasa - Runda 3","Ekstraklasa","Olsztyn","3","2023"
"72731202","2 Liga - Runda 3","2 Liga","Szczecin (1)","3","2022"
"72870325","1 Liga - Runda 4","1 Liga","Warszawa","4","2022"
"73972099","Ekstraklasa - Runda 3","Ekstraklasa","Gdańsk","3","2015"
"74940339","Ekstraklasa - Runda 4","Ekstraklasa","Szczecin","4","2024"
"75270731","2 Liga - Runda 2","2 Liga","2 runda","2","2023"
"76884717","Ekstraklasa - Runda 1","Ekstraklasa","Gdynia","1","2018"
"77100366","Ekstraklasa - Runda 1","Ekstraklasa","Szczecin","1","2015"
"78707344","Ekstraklasa - Runda 4","Ekstraklasa","Świnoujście","4","2020"
"79103275","Ekstraklasa - Runda 1","Ekstraklasa","Szczecin","1","2020"
"79125934","Youth - Runda 1","Youth","Sopot","1","2026"
"79701472","1 Liga - Runda 4","1 Liga","Szczecin","4","2025"
"79772225","1 Liga - Runda 1","1 Liga","Sopot","1","2021"
"79990660","Ekstraklasa - Runda 3","Ekstraklasa","Świnoujście","3","2018"
"80803598","Ekstraklasa - Runda 4","Ekstraklasa","Sopot","4","2016"
"81519758","Ekstraklasa - Runda 2","Ekstraklasa","Gdynia","2","2019"
"85326506","Ekstraklasa - Runda 4","Ekstraklasa","Szczecin","4","2017"
"85657695","Ekstraklasa - Runda 3","Ekstraklasa","Gdynia","3","2017"
"86083690","Youth - Runda 3","Youth","Puck","3","2025"
"87373489","1 Liga - Runda 2","1 Liga","Gdynia","2","2025"
"90193164","1 Liga - Runda 2","1 Liga","Sopot (2)","2","2019"
"94367801","Ekstraklasa - Runda 3","Ekstraklasa","Gdynia","3","2024"
"96613811","1 Liga - Runda 3","1 Liga","Szczecin","3","2021"
"96787646","1 Liga - Runda 1","1 Liga","Sopot(1)","1","2020"
"97148389","Ekstraklasa - Runda 2","Ekstraklasa","Gdynia","2","2023"
"98027676","2 Liga - Runda 1","2 Liga","1 runda","1","2023"
"99194464","1 Liga - Runda 1","1 Liga","Sopot (1)","1","2019"
