ID_Zawodnika,ID_Regat,ID_wariantu_klubu,WynikWRegatach,Trening
81240063,66750266,97015711,,
48204045,66750266,97015711,,
8499409,66750266,97015711,,
82325033,66750266,97015711,,
61838003,66750266,75141924,,
52111469,66750266,75141924,,
22978926,66750266,75141924,,
16784347,66750266,75141924,,
50933544,66750266,95701656,,
33305205,66750266,95701656,,
21913805,66750266,95701656,,
48092005,66750266,95701656,,
76027076,66750266,95701656,,
95849184,66750266,95701656,,
60153375,66750266,57461405,,
24307135,66750266,57461405,,
60557330,66750266,57461405,,
35452913,66750266,57461405,,
31221524,66750266,57461405,,
93841623,66750266,18767554,,
37387840,66750266,18767554,,
70014022,66750266,18767554,,
96269851,66750266,18767554,,
43098518,66750266,18767554,,
86467729,66750266,59287240,,
1644879,66750266,59287240,,
278144,66750266,59287240,,
6883088,66750266,59287240,,
69817650,66750266,59287240,,
71589137,66750266,31561187,,
88404478,66750266,31561187,,
86014501,66750266,31561187,,
13647562,66750266,31561187,,
83892341,66750266,31561187,,
65426102,66750266,31561187,,
73728079,66750266,73113253,,
45466641,66750266,73113253,,
73821741,66750266,73113253,,
38863535,66750266,73113253,,
97775821,66750266,73113253,,
15603428,66750266,89761386,,
94977439,66750266,89761386,,
52138719,66750266,89761386,,
66228283,66750266,89761386,,
39985598,66750266,89761386,,
69935946,66750266,89761386,,
38692380,66750266,89761386,,
21665175,66750266,39923431,,
61999083,66750266,39923431,,
67917096,66750266,39923431,,
55877890,66750266,39923431,,
9574951,66750266,14947601,,
36838735,66750266,14947601,,
32257615,66750266,14947601,,
10463259,66750266,14947601,,
80560727,66750266,53442767,,
16386823,66750266,53442767,,
49449500,66750266,53442767,,
21737312,66750266,53442767,,
8649496,66750266,53442767,,
55887803,66750266,35887754,,
26263252,66750266,35887754,,
81311454,66750266,35887754,,
24449860,66750266,35887754,,
4400026,66750266,90735668,,
51135775,66750266,90735668,,
15521977,66750266,90735668,,
37259599,66750266,90735668,,
16159472,66750266,49746069,,
65089759,66750266,49746069,,
11120520,66750266,49746069,,
58147240,66750266,49746069,,
90931025,66750266,21267167,,
47496297,66750266,21267167,,
24283626,66750266,21267167,,
15897980,66750266,21267167,,
56799050,66750266,77473926,,
26079844,66750266,77473926,,
92539064,66750266,77473926,,
69076610,66750266,77473926,,
40911107,66750266,832153,,
45905168,66750266,832153,,
99260284,66750266,832153,,
86155387,66750266,832153,,
62687687,79701472,3343985,,
99733046,79701472,3343985,,
94801578,79701472,3343985,,
87762857,79701472,3343985,,
96729503,79701472,56132742,,
64979107,79701472,56132742,,
98317800,79701472,56132742,,
21036330,79701472,56132742,,
27446283,79701472,23474192,,
36347990,79701472,23474192,,
79147169,79701472,23474192,,
33525241,79701472,23474192,,
29990326,79701472,5178638,,
78724856,79701472,5178638,,
56072477,79701472,5178638,,
72602300,79701472,5178638,,
71770689,79701472,9193535,,
29400420,79701472,9193535,,
68864510,79701472,9193535,,
69738467,79701472,9193535,,
95363125,79701472,9193535,,
52924222,79701472,1696220,,
56573294,79701472,1696220,,
30063637,79701472,1696220,,
50158144,79701472,1696220,,
45454244,79701472,1696220,,
78820173,79701472,80812925,,
2079438,79701472,80812925,,
80272718,79701472,80812925,,
67888989,79701472,80812925,,
30361046,79701472,57004617,,
15853445,79701472,57004617,,
28355271,79701472,57004617,,
60313871,79701472,57004617,,
56575282,79701472,29673695,,
42113934,79701472,29673695,,
60638031,79701472,29673695,,
15559808,79701472,29673695,,
56240541,79701472,2968352,,
13480581,79701472,2968352,,
74460774,79701472,2968352,,
35294268,79701472,2968352,,
82362175,79701472,39262660,,
68160068,79701472,39262660,,
2601478,79701472,39262660,,
88743461,79701472,39262660,,
2747521,79701472,39262660,,
978157,79701472,39262660,,
99283841,79701472,55674587,,
2508201,79701472,55674587,,
49997823,79701472,55674587,,
41738367,79701472,55674587,,
85957211,79701472,55674587,,
28374567,79701472,64830853,,
2248904,79701472,64830853,,
66969175,79701472,64830853,,
28164958,79701472,64830853,,
23299892,79701472,64830853,,
17281960,79701472,23372296,,
30986928,79701472,23372296,,
64209255,79701472,23372296,,
43318486,79701472,23372296,,
52636159,79701472,5117166,,
60534882,79701472,5117166,,
45152375,79701472,5117166,,
34544875,79701472,5117166,,
21031157,79701472,5117166,,
75356731,79701472,20173236,,
35352911,79701472,20173236,,
12795529,79701472,20173236,,
82504240,79701472,20173236,,
13757277,79701472,8699349,,
95416000,79701472,8699349,,
43405293,79701472,8699349,,
19912444,79701472,8699349,,
64580098,79701472,77440855,,
56650447,79701472,77440855,,
68991758,79701472,77440855,,
73294576,79701472,77440855,,
70877071,79701472,77440855,,
81240063,72158401,97015711,,
48204045,72158401,97015711,,
34027266,72158401,97015711,,
8499409,72158401,97015711,,
61838003,72158401,75141924,,
17046182,72158401,75141924,,
3651790,72158401,75141924,,
52111469,72158401,75141924,,
50933544,72158401,95701656,,
33305205,72158401,95701656,,
21913805,72158401,95701656,,
48092005,72158401,95701656,,
76027076,72158401,95701656,,
95849184,72158401,95701656,,
60153375,72158401,57461405,,
60557330,72158401,57461405,,
35452913,72158401,57461405,,
31221524,72158401,57461405,,
93841623,72158401,18767554,,
37387840,72158401,18767554,,
70014022,72158401,18767554,,
